STATCD;DISTCD;STATNAME;DISTNAME;DISTRICTS;BLOCKS;VILLAGES;TOTPOPULAT;P_URB_POP;POPULATION_0_6;GROWTHRATE;SEXRATIO;P_SC_POP;P_ST_POP;OVERALL_LI;FEMALE_LIT;MALE_LIT;AREA_SQKM;TOT_6_10_15;TOT_11_13_15;SCH1;SCH2;SCH3;SCH4;SCH5;SCH6;SCH7;SCH9;SCHTOT;SCH1G;SCH2G;SCH3G;SCH4G;SCH5G;SCH6G;SCH7G;SCH9G;SCHTOTG;SCH1P;SCH2P;SCH3P;SCH4P;SCH5P;SCH6P;SCH7P;SCH9P;SCHTOTP;SCH1GR;SCH2GR;SCH3GR;SCH4GR;SCH5GR;SCH6GR;SCH7GR;SCH9GR;SCHTOTGR;SCH1PR;SCH2PR;SCH3PR;SCH4PR;SCH5PR;SCH6PR;SCH7PR;SCH9PR;SELE1;SELE2;SELE3;SELE4;SELE5;SELE6;SELE7;SCOMP1;SCOMP2;SCOMP3;SCOMP4;SCOMP5;SCOMP6;SCOMP7;ENR501;ENR502;ENR503;ENR504;ENR505;ENR506;ENR507;ENR509;CLS1;CLS2;CLS3;CLS4;CLS5;CLS6;CLS7;TCH1;TCH2;TCH3;TCH4;TCH5;TCH6;TCH7
7;701;DELHI;NORTH WEST DELHI;1;9;224;3651261;32.44;443263.09;27.63;862;19.07;0;84.66;78.76;89.74;443;335119;204644;561;174;251;9;124;45;17;0;1181;432;2;106;7;114;2;17;0;680;129;172;145;2;10;43;0;0;501;49;0;4;1;6;0;1;0;61;8;14;7;0;1;2;0;0;560;174;251;9;124;45;17;459;166;230;4;104;45;13;4;1;0;1;2;0;0;0;7382;1979;5993;108;1460;583;155;6380;2148;15122;93;5266;932;571
7;702;DELHI;NORTH DELHI;1;6;80;883418;17.79;100886.34;13.04;871;18.66;0;86.81;81.92;91.06;61;76530;47102;187;35;62;4;34;7;14;0;343;120;0;28;1;22;2;10;0;183;67;35;34;3;12;5;4;0;160;2;0;0;0;0;1;1;0;4;1;1;0;0;0;0;0;0;187;35;62;4;34;7;14;148;33;45;1;26;5;7;6;0;0;0;1;0;0;0;1423;426;1055;17;233;126;131;1270;461;2601;25;925;148;323
7;703;DELHI;NORTH EAST DELHI;1;6;133;2240749;36.44;296227.02;26.73;886;16.67;0;82.8;76.51;88.39;62;225144;135527;430;235;63;7;71;40;20;0;866;197;0;34;5;68;1;18;0;323;233;235;29;2;3;39;2;0;543;5;0;0;0;2;1;0;0;8;1;8;0;0;0;0;0;0;430;235;63;7;71;40;20;291;205;57;2;54;39;11;3;0;0;0;0;0;0;0;5094;2659;1353;76;830;618;180;4538;2615;4176;165;4009;912;641
7;704;DELHI;EAST DELHI;1;8;133;1707725;17.91;189557.48;16.68;883;16.46;0;88.75;84.55;92.47;63;142725;87409;331;91;130;5;38;16;13;0;624;191;0;68;0;35;3;11;0;308;140;91;62;5;3;13;2;0;316;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;330;91;130;5;38;16;13;268;88;117;2;33;16;8;6;2;0;0;0;0;1;0;3515;1131;3005;31;426;271;135;2878;1194;8129;45;1591;449;371
7;705;DELHI;NEW DELHI;1;7;29;133713;-25.35;11552.8;-25.35;811;23.41;0;89.38;84.83;93.04;35;9085;6175;24;4;51;1;3;12;0;0;95;17;3;27;0;1;8;0;0;56;7;1;24;1;2;4;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;4;51;1;3;12;0;20;4;50;0;3;11;0;0;1;0;0;0;0;0;0;253;45;1094;7;38;181;0;346;70;2758;4;157;278;0
7;706;DELHI;CENTRAL DELHI;1;8;68;578671;-10.48;60413.25;-10.48;892;24.59;0;85.25;82.6;87.6;21;45742;27598;114;5;57;6;43;6;10;0;241;85;0;19;4;14;0;5;0;127;29;5;38;2;29;6;5;0;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;5;57;6;43;6;10;83;5;46;0;34;6;4;2;0;0;1;1;0;0;2;855;50;996;31;290;70;61;605;59;2364;61;1002;101;136
7;707;DELHI;WEST DELHI;1;7;182;2531583;23.65;282777.82;18.91;876;14.8;0;87.12;82.5;91.17;130;211942;129215;361;119;187;1;64;58;18;0;808;226;0;71;0;56;1;12;0;366;135;119;116;1;8;57;6;0;442;2;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;359;118;187;1;64;58;18;297;115;171;1;53;58;12;9;1;0;0;3;0;0;0;4541;1335;4318;3;816;753;176;4076;1416;10861;7;3181;1169;528
7;708;DELHI;SOUTH WEST DELHI;1;9;153;2292363;40.44;262704.8;30.62;836;13.89;0;88.81;83.07;93.62;421;193779;116810;301;115;196;2;75;47;6;0;742;189;0;68;1;73;2;6;0;339;112;115;128;1;2;45;0;0;403;41;0;5;0;17;1;2;0;66;8;14;11;0;0;5;0;0;300;115;196;2;75;47;6;264;111;181;1;51;45;5;23;3;0;1;4;0;1;0;3268;1319;4860;14;758;745;60;3127;1448;12087;19;2819;1060;148
7;709;DELHI;SOUTH DELHI;1;9;199;2733752;29.22;323129.49;20.59;859;15.48;0;87.03;80.99;92.2;247;246043;150238;446;126;138;0;93;29;19;0;851;271;2;63;0;85;5;18;0;444;175;124;75;0;8;24;1;0;407;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;446;125;138;0;93;29;19;379;121;121;0;55;26;15;7;0;0;0;1;0;0;2;5003;1683;3368;0;1101;596;176;4272;1686;9158;0;4334;899;635
8;801;RAJASTHAN;GANGANAGAR;1;9;1937;1969520;27.2;252295.51;10.06;887;36.59;0.68;70.25;60.07;79.33;10978;187904;119237;1127;1183;510;3;66;325;23;0;3237;995;631;284;2;32;125;10;0;2079;130;552;226;0;34;200;13;0;1155;952;574;275;1;20;121;9;0;1952;71;375;130;0;14;136;3;0;435;1094;502;3;66;320;23;72;415;338;1;59;213;18;952;202;15;1;19;19;12;15;3339;7780;3670;9;253;2391;80;2531;6850;6443;12;913;3053;166
